172.24.92.129;00:1B:21:07:FF:3E 
172.24.92.130;00:19:D1:97:66:7E 
172.24.92.132;94:DE:80:A1:F8:4E 
172.24.92.133;00:18:F3:E2:44:6F 
172.24.92.134;00:25:22:4D:63:5D 
172.24.92.136;00:0E:A6:87:08:6D 
172.24.92.137;00:1b:fc:94:3c:ca
172.24.92.139;00:1F:C6:B4:A5:8E 
172.24.92.140;00:22:15:D7:E9:97 
172.24.92.141;00:1D:60:48:B8:9D 
172.24.92.142;00:14:85:88:2A:3E
172.24.92.143;00:21:85:62:DE:A3
172.24.92.144;00:17:31:5F:22:EF 
172.24.92.145;14:DA:E9:38:FC:02 
172.24.92.146;00:1C:C0:9F:B4:ED 
172.24.92.147;00:24:8C:E7:1D:DF 
172.24.92.150;00:0F:FE:B2:21:12 
172.24.92.151;F0:92:1C:E1:A7:72 
172.24.92.152;00:16:E6:47:47:C8 
172.24.92.155;4C:72:B9:53:7C:31 
172.24.92.156;90:2B:34:9F:2D:70 
172.24.92.160;00:17:31:49:68:55 
172.24.92.161;6C:3B:E5:21:4C:EA 
172.24.92.162;00:18:f3:4e:8f:62
172.24.92.163;00:17:31:69:0A:D2 
172.24.92.166;00:1E:8C:83:DD:D6 
172.24.92.168;48:5B:39:A3:A6:3C 
172.24.92.170;00:11:09:D9:56:3A 
172.24.92.172;00:C0:EE:AE:94:20 
172.24.92.173;00:C0:EE:B5:82:82 
172.24.92.174;00:1B:FC:65:09:BE 
172.24.92.175;48:5B:39:A3:A6:CC 
172.24.92.179;6C:3B:E5:02:4C:1F 
172.24.92.180;68:B5:99:AB:3B:2F 
